Date,Open,Volume,Low,High,Close
"Aug 08, 2014",588.88,11072000,588.79,598.12,592.58
"Aug 09, 2014",592.47,7922070,587.63,592.47,589.37
"Aug 10, 2014",589.17,7555310,587.94,594.46,591.06
"Aug 11, 2014",591.28,14764200,574.05,591.51,576.37
"Aug 12, 2014",576.51,13978200,566.6,576.95,569.64
"Aug 13, 2014",570.38,25777500,532.67,573.03,546.66
"Aug 14, 2014",546.18,35803900,498.73,546.24,505.97
"Aug 15, 2014",511.14,25598300,487.93,518.18,497.01
"Aug 16, 2014",497.83,22832500,487.74,521.48,519.71
"Aug 17, 2014",519.14,24300900,483.63,520.19,491.8
"Aug 18, 2014",491.51,50783800,443.85,499.37,461.46
"Aug 19, 2014",461.48,38422400,455.54,485.71,485.25
"Aug 20, 2014",485.07,46527600,467.51,518.28,511.98
"Aug 21, 2014",510.45,49444200,510.45,531.9,517.24
"Aug 22, 2014",517.58,36563900,501.27,521.48,514.04
"Aug 23, 2014",513.39,25171900,492.11,514.3,498.07
"Aug 24, 2014",498.29,19441700,497.35,512.89,508.29
"Aug 25, 2014",508.22,18356700,499.23,508.22,502.5
"Aug 26, 2014",502.54,23235100,502.54,512.69,511.57
"Aug 27, 2014",512.19,22648500,510.92,520.71,511.15
"Aug 28, 2014",510.88,19862000,506.88,516.16,507.81
"Aug 29, 2014",508.43,17624800,503.82,511.69,508.52
"Aug 30, 2014",508.59,9424070,501.64,509.31,504.25
"Aug 31, 2014",502.9,44632300,474.81,504.88,477.76
"Sep 01, 2014",477.79,20432000,471.91,485.31,474.88
"Sep 02, 2014",474.48,23337900,472.32,482.99,477.43
"Sep 03, 2014",476.87,13342200,476.21,481.71,477.59
"Sep 04, 2014",477.68,26081400,477.09,493.93,489.66
"Sep 05, 2014",489.67,15302500,481.61,490.64,483.34
"Sep 06, 2014",483.34,10601400,483,488.6,484.83
"Sep 07, 2014",485.13,8994050,482.28,488.07,482.28
"Sep 08, 2014",481.81,30238000,468.79,489.83,474.6
"Sep 09, 2014",474.88,21447800,467.78,477.38,475.26
"Sep 10, 2014",475.48,22787800,475.14,487.47,479.36
"Sep 11, 2014",479.62,16852900,474.61,482.35,479.75
"Sep 12, 2014",479.58,15437200,473.01,479.63,477.75
"Sep 13, 2014",477.79,15588000,475.1,482.12,479
"Sep 14, 2014",479.12,13105500,476.12,479.85,477.89
"Sep 15, 2014",477.76,15345200,474.02,478.62,475.37
"Sep 16, 2014",474.86,16797300,465.13,475.64,466.06
"Sep 17, 2014",465.86,21056800,452.42,468.17,457.33
"Sep 18, 2014",456.86,34483200,413.1,456.86,424.44
"Sep 19, 2014",424.1,37919700,384.53,427.83,394.8
"Sep 20, 2014",394.67,36863600,389.88,423.3,408.9
"Sep 21, 2014",408.08,26580100,393.18,412.43,398.82
"Sep 22, 2014",399.1,24127600,397.13,406.92,402.15
"Sep 23, 2014",402.09,45099500,396.2,441.56,435.79
"Sep 24, 2014",435.75,30627700,421.13,436.11,423.2
"Sep 25, 2014",423.16,26814400,409.47,423.52,411.57
"Sep 26, 2014",411.43,21460800,400.01,414.94,404.43
"Sep 27, 2014",403.56,15029300,397.37,406.62,399.52
"Sep 28, 2014",399.47,23613300,374.33,401.02,377.18
"Sep 29, 2014",376.93,32497700,372.24,385.21,375.47
"Sep 30, 2014",376.09,34707300,373.44,390.98,386.94
"Oct 01, 2014",387.43,26229400,380.78,391.38,383.62
"Oct 02, 2014",383.99,21777700,372.95,385.5,375.07
"Oct 03, 2014",375.18,30901200,357.86,377.69,359.51
"Oct 04, 2014",359.89,47236500,325.89,364.49,328.87
"Oct 05, 2014",328.92,83308100,289.3,341.8,320.51
"Oct 06, 2014",320.39,79011800,302.56,345.13,330.08
"Oct 07, 2014",330.58,49199900,320.48,339.25,336.19
"Oct 08, 2014",336.12,54736300,327.19,354.36,352.94
"Oct 09, 2014",352.75,83641100,347.69,382.73,365.03
"Oct 10, 2014",364.69,43665700,352.96,375.07,361.56
"Oct 11, 2014",361.36,13345200,355.95,367.19,362.3
"Oct 12, 2014",362.61,17552800,356.14,379.43,378.55
"Oct 13, 2014",377.92,35221400,368.9,397.23,390.41
"Oct 14, 2014",391.69,38491500,391.32,411.7,400.87
"Oct 15, 2014",400.95,25267100,388.77,402.23,394.77
"Oct 16, 2014",394.52,26990000,373.07,398.81,382.56
"Oct 17, 2014",382.76,13600700,375.39,385.48,383.76
"Oct 18, 2014",383.98,11416800,378.97,395.16,391.44
"Oct 19, 2014",391.25,5914570,386.46,393.94,389.55
"Oct 20, 2014",389.23,16419000,378.25,390.08,382.85
"Oct 21, 2014",382.42,14188900,380.83,392.65,386.48
"Oct 22, 2014",386.12,11641300,382.25,388.58,383.16
"Oct 23, 2014",382.96,26456900,356.45,385.05,358.42
"Oct 24, 2014",358.59,15585700,353.31,364.35,358.35
"Oct 25, 2014",358.61,18127500,342.88,359.86,347.27
"Oct 26, 2014",347.49,11272500,343.93,359.22,354.7
"Oct 27, 2014",354.78,13033000,349.81,358.63,352.99
"Oct 28, 2014",353.21,7845880,352.68,359.98,357.62
"Oct 29, 2014",357.09,18192700,335.34,357.83,335.59
"Oct 30, 2014",335.71,30177900,335.07,350.91,345.31
"Oct 31, 2014",345.01,12545400,337.14,348.05,338.32
"Nov 01, 2014",338.65,16677200,321.06,340.53,325.75
"Nov 02, 2014",326.07,8603620,320.63,329.05,325.89
"Nov 03, 2014",325.57,12948500,325.48,334,327.55
"Nov 04, 2014",327.16,15655500,325.08,331.77,330.49
"Nov 05, 2014",330.68,19817200,330.68,343.37,339.49
"Nov 06, 2014",339.46,18797000,338.42,352.97,349.29
"Nov 07, 2014",349.82,16834200,341.78,352.73,342.42
"Nov 08, 2014",342.15,8535470,342.15,347.03,345.49
"Nov 09, 2014",345.38,24205600,344.25,363.63,363.26
"Nov 10, 2014",362.26,30450100,357.56,374.82,366.92
"Nov 11, 2014",365.86,15838900,363.74,371.31,367.69
"Nov 12, 2014",367.99,45783200,367.99,429.72,423.56
"Nov 13, 2014",427.27,58945000,401.12,457.09,420.74
"Nov 14, 2014",418.42,29589200,384.79,419.25,397.82
"Nov 15, 2014",399.65,15727500,371.01,405.53,376.13
"Nov 16, 2014",374.73,11905600,374.6,390.8,387.88
"Nov 17, 2014",388.35,41518800,377.5,410.2,387.41
"Nov 18, 2014",387.79,32222500,371.12,392.4,375.2
"Nov 19, 2014",373.9,18931800,373.9,386.48,380.56
"Nov 20, 2014",380.31,25233200,356.78,382.02,357.84
"Nov 21, 2014",357.88,29850100,344.11,357.88,350.85
"Nov 22, 2014",351.6,15273000,350.88,364.84,352.92
"Nov 23, 2014",353.18,15151600,353.18,370.85,367.57
"Nov 24, 2014",366.95,30930100,366.67,387.21,376.9
"Nov 25, 2014",376.89,25442200,374.78,394.7,375.35
